title,distance,prices
2019 Mercedes-Benz E-Class E 220 d Avantgarde,"50,942 km  |  Diesel  |  Hyderabad",Rs. 59.5 Lakh
2022 Mahindra XUV700 AX 7 Diesel MT 7 STR [2021],"15,900 km  |  Diesel  |  Hyderabad",Rs. 26.5 Lakh
2016 Volkswagen Polo GT TSI,"51,454 km  |  Petrol  |  Hyderabad",Rs. 7.75 Lakh
2018 Toyota Innova Crysta GX 2.4 7 STR,"1,04,097 km  |  Diesel  |  Hyderabad",Rs. 19 Lakh
2018 Hyundai i20 Active 1.2 S,"41,148 km  |  Petrol  |  Hyderabad",Rs. 6.99 Lakh
2017 Hyundai Creta SX 1.6 CRDI (O),"1,29,241 km  |  Diesel  |  Hyderabad",Rs. 10.5 Lakh
2014 Skoda Rapid 1.5 TDI CR Elegance,"80,596 km  |  Diesel  |  Hyderabad",Rs. 4.85 Lakh
2017 Hyundai Elite i20 Sportz 1.2,"25,748 km  |  Petrol  |  Hyderabad",Rs. 6.3 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"16,064 km  |  Diesel  |  Hyderabad",Rs. 18 Lakh
2021 BMW X1 sDrive20i xLine,"28,823 km  |  Petrol  |  Hyderabad",Rs. 42.9 Lakh
2021 Mahindra Thar LX Convertible Diesel MT,"18,596 km  |  Diesel  |  Hyderabad",Rs. 17.5 Lakh
2020 Porsche 718 Boxster [2020-2023],"1,800 km  |  Petrol  |  Hyderabad",Rs. 1.5 Crore
2018 MINI Countryman Cooper S [2020-2021],"16,226 km  |  Petrol  |  Hyderabad",Rs. 39 Lakh
2015 Land Rover Discovery Sport HSE,"95,883 km  |  Diesel  |  Hyderabad",Rs. 24 Lakh
2011 Toyota Fortuner 3.0 MT,"2,18,535 km  |  Diesel  |  Hyderabad",Rs. 12 Lakh
2014 Audi A4 35 TDI Premium Sport + Sunroof,"52,428 km  |  Diesel  |  Hyderabad",Rs. 16.5 Lakh
2018 Ford Endeavour Titanium 2.2 4x2 AT,"9,257 km  |  Diesel  |  Hyderabad",Rs. 36 Lakh
2019 Ford Endeavour Titanium 3.2 4x4 AT,"57,863 km  |  Diesel  |  Hyderabad",Rs. 37 Lakh
2019 BMW 5 Series 530d M Sport [2013-2017],"24,244 km  |  Diesel  |  Hyderabad",Rs. 65 Lakh
2020 Maruti Suzuki Swift VXi AMT [2018-2019],"12,932 km  |  Petrol  |  Hyderabad",Rs. 7.5 Lakh
2013 Skoda Octavia Elegance 2.0 TDI AT,"86,783 km  |  Diesel  |  Hyderabad",Rs. 9 Lakh
2021 Honda Amaze 1.2 S MT Petrol [2018-2020],"17,147 km  |  Petrol  |  Hyderabad",Rs. 6.99 Lakh
2013 Audi A6 3.0 TDI quattro Premium,"76,585 km  |  Diesel  |  Hyderabad",Rs. 16 Lakh
2021 Maruti Suzuki XL6 Alpha MT Petrol,"8,346 km  |  Petrol  |  Hyderabad",Rs. 13.5 Lakh
2017 Mercedes-Benz GLA 200 d Style,"88,003 km  |  Diesel  |  Hyderabad",Rs. 22 Lakh
2012 Mercedes-Benz SLK 350,"45,00,000 km  |  Petrol  |  Hyderabad",Rs. 45 Lakh
2019 Maruti Suzuki Vitara Brezza VDi,"38,500 km  |  Diesel  |  Hyderabad",Rs. 10.5 Lakh
2017 Maruti Suzuki Wagon R 1.0 VXI,"60,375 km  |  Petrol  |  Hyderabad",Rs. 4.5 Lakh
2018 Maruti Suzuki Vitara Brezza ZDi Plus,"73,723 km  |  Diesel  |  Hyderabad",Rs. 9.5 Lakh
2017 Volkswagen Tiguan Comfortline TDI,"66,056 km  |  Diesel  |  Hyderabad",Rs. 22 Lakh
2017 Toyota Innova Crysta Touring Sport Diesel AT [2017-2020],"71,670 km  |  Diesel  |  Hyderabad",Rs. 22.5 Lakh
2017 Toyota Innova Crysta Touring Sport Diesel AT [2017-2020],"71,670 km  |  Diesel  |  Hyderabad",Rs. 22.5 Lakh
2014 Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],"44,970 km  |  Petrol  |  Hyderabad",Rs. 4.8 Lakh
2019 Maruti Suzuki Swift LDi,"23,150 km  |  Diesel  |  Hyderabad",Rs. 7 Lakh
2013 Ford EcoSport Titanium 1.5 Ti-VCT AT,"41,347 km  |  Petrol  |  Hyderabad",Rs. 6 Lakh
2017 Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],"22,591 km  |  Diesel  |  Hyderabad",Rs. 9.25 Lakh
2021 Hyundai Grand i10 Nios Asta 1.2 Kappa VTVT,"34,000 km  |  Petrol  |  Hyderabad",Rs. 6.5 Lakh
2019 Isuzu MU-X 4x4,"61,333 km  |  Diesel  |  Hyderabad",Rs. 25 Lakh
2011 Audi A7 Sportback 3.0 TDI quattro,"90,728 km  |  Diesel  |  Hyderabad",Rs. 22 Lakh
2019 BMW 6 Series GT 620d Luxury Line [2019-2019],"33,986 km  |  Diesel  |  Hyderabad",Rs. 63 Lakh
2016 Porsche Cayenne Diesel,"58,253 km  |  Diesel  |  Hyderabad",Rs. 60 Lakh
