title,distance,prices
2016 BMW 3 Series 320d Luxury Line,"88,750 km  |  Diesel  |  Chandigarh",Rs. 19.75 Lakh
2022 Mercedes-Benz GLC 220d 4MATIC Progressive,"54,300 km  |  Diesel  |  Chandigarh",Rs. 54.75 Lakh
2018 Maruti Suzuki Dzire VXi,"1,16,411 km  |  Petrol  |  Chandigarh",Rs. 4.83 Lakh
2018 Land Rover Discovery Sport SE,"37,800 km  |  Diesel  |  Chandigarh",Rs. 37.9 Lakh
2015 Mercedes-Benz E-Class E 250 CDI Avantgarde,"81,500 km  |  Diesel  |  Chandigarh",Rs. 18.95 Lakh
2018 Maruti Suzuki Swift VXi [2014-2017],"72,282 km  |  Petrol  |  Chandigarh",Rs. 4.99 Lakh
2018 Toyota Fortuner 2.8 4x2 AT [2016-2020],"85,000 km  |  Diesel  |  Chandigarh",Rs. 30.5 Lakh
2015 Audi Q3 35 TDI Premium Plus + Sunroof,"83,000 km  |  Diesel  |  Chandigarh",Rs. 15.25 Lakh
2016 Maruti Suzuki Celerio ZXi AMT [2019-2020],"40,020 km  |  Petrol  |  Chandigarh",Rs. 4.75 Lakh
2018 Jaguar XF Prestige Diesel CBU,"40,000 km  |  Diesel  |  Chandigarh",Rs. 33.75 Lakh
2018 Mercedes-Benz CLA 200 CDI Sport,"80,000 km  |  Diesel  |  Chandigarh",Rs. 23.75 Lakh
2012 BMW X3 xDrive30d,"42,700 km  |  Diesel  |  Chandigarh",Rs. 18.75 Lakh
2015 Mercedes-Benz E-Class E 250 CDI Avantgarde,"37,000 km  |  Diesel  |  Chandigarh",Rs. 21.75 Lakh
2017 BMW X3 xDrive-20d xLine,"48,000 km  |  Diesel  |  Chandigarh",Rs. 29.75 Lakh
2018 Audi Q5 35 TDI Premium Plus,"28,000 km  |  Diesel  |  Chandigarh",Rs. 43.75 Lakh
2023 Mercedes-Benz A-Class Limousine 200,"4,000 km  |  Petrol  |  Chandigarh",Rs. 42.75 Lakh
2019 Land Rover Discovery Sport HSE 7-Seater,"65,300 km  |  Diesel  |  Chandigarh",Rs. 37.75 Lakh
2021 Jeep Wrangler Unlimited 4x4 Petrol,"15,000 km  |  Petrol  |  Chandigarh",Rs. 54.75 Lakh
2014 Toyota Fortuner 3.0 4x2 AT,"1,85,000 km  |  Diesel  |  Chandigarh",Rs. 13.75 Lakh
2016 Audi A6 35 TDI Matrix,"98,600 km  |  Diesel  |  Chandigarh",Rs. 19.75 Lakh
2016 Mercedes-Benz GLA 200 d Sport,"24,300 km  |  Diesel  |  Chandigarh",Rs. 22.75 Lakh
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"12,600 km  |  Diesel  |  Chandigarh",Rs. 19.75 Lakh
2013 Audi Q3 2.0 TDI quattro Premium Plus,"1,51,000 km  |  Diesel  |  Chandigarh",Rs. 8.75 Lakh
2014 Audi A6 2.0 TDI Premium Plus,"42,500 km  |  Diesel  |  Chandigarh",Rs. 15.75 Lakh
2019 Mercedes-Benz C-Class C 220 CDI Avantgarde,"25,000 km  |  Diesel  |  Chandigarh",Rs. 37.75 Lakh
2018 Maruti Suzuki Swift VXi [2014-2017],"35,010 km  |  Petrol  |  Chandigarh",Rs. 5.59 Lakh
2017 Audi Q3 35 TDI Premium Plus + Sunroof,"97,000 km  |  Diesel  |  Chandigarh",Rs. 16.75 Lakh
2018 Maruti Suzuki Swift VXi [2014-2017],"69,028 km  |  Petrol  |  Chandigarh",Rs. 5.47 Lakh
2018 Maruti Suzuki Swift VXi AMT [2018-2019],"24,434 km  |  Petrol  |  Chandigarh",Rs. 5.77 Lakh
2020 MINI Countryman Cooper D,"89,000 km  |  Diesel  |  Chandigarh",Rs. 28.75 Lakh
2014 Mercedes-Benz E-Class E250 CDI Avantgarde,"57,000 km  |  Diesel  |  Chandigarh",Rs. 15.75 Lakh
2017 Mercedes-Benz GLA 200 d Sport,"37,000 km  |  Diesel  |  Chandigarh",Rs. 24.75 Lakh
2013 Hyundai Grand i10 Sports Edition 1.1 CRDi,"1,09,085 km  |  Diesel  |  Chandigarh",Rs. 2.47 Lakh
2014 Hyundai Eon Era +,"87,090 km  |  Petrol  |  Chandigarh",Rs. 1.77 Lakh
2020 Kia Sonet HTX Plus 1.0 iMT [2020-2021],"16,707 km  |  Petrol  |  Chandigarh",Rs. 9.38 Lakh
2016 Renault Kwid RXT [2015-2019],"23,225 km  |  Petrol  |  Chandigarh",Rs. 2.79 Lakh
2012 Maruti Suzuki Swift DZire VXI,"1,11,531 km  |  Petrol  |  Chandigarh",Rs. 2.84 Lakh
2019 Ford EcoSport Titanium + 1.5L Ti-VCT,"24,423 km  |  Petrol  |  Chandigarh",Rs. 7.78 Lakh
2017 Maruti Suzuki Alto K10 VXi AMT [2014-2018],"46,718 km  |  Petrol  |  Chandigarh",Rs. 3.63 Lakh
2019 Hyundai Santro Sportz CNG [2018-2020],"57,870 km  |  CNG  |  Chandigarh",Rs. 4.07 Lakh
2014 Honda Brio S MT,"87,805 km  |  Petrol  |  Chandigarh",Rs. 2.89 Lakh
2019 Ford EcoSport Titanium + 1.5L TDCi [2019-2020],"88,721 km  |  Diesel  |  Chandigarh",Rs. 6.96 Lakh
2015 Maruti Suzuki Baleno Delta 1.3,"51,628 km  |  Diesel  |  Chandigarh",Rs. 3.65 Lakh
2017 Honda WR-V VX MT Diesel,"59,104 km  |  Diesel  |  Chandigarh",Rs. 6.33 Lakh
2021 Maruti Suzuki Baleno Delta 1.2,"15,777 km  |  Petrol  |  Chandigarh",Rs. 6.2 Lakh
2020 Volkswagen Polo Trendline 1.0L MPI,"45,169 km  |  Petrol  |  Chandigarh",Rs. 4.94 Lakh
2021 Maruti Suzuki Baleno Delta 1.2,"16,990 km  |  Petrol  |  Chandigarh",Rs. 6.2 Lakh
2020 Toyota Yaris G MT [2018-2020],"36,598 km  |  Petrol  |  Chandigarh",Rs. 7.02 Lakh
2019 Maruti Suzuki Alto K10 VXi (O),"21,079 km  |  Petrol  |  Chandigarh",Rs. 3.31 Lakh
2018 Maruti Suzuki Baleno Delta 1.2 AT,"44,147 km  |  Petrol  |  Chandigarh",Rs. 5.27 Lakh
2021 Renault Triber RXZ [2019-2020],"12,509 km  |  Petrol  |  Chandigarh",Rs. 6.11 Lakh
2019 Maruti Suzuki Wagon R VXi 1.2,"67,438 km  |  Petrol  |  Chandigarh",Rs. 4.33 Lakh
2022 Renault Triber RXZ [2019-2020],"23,290 km  |  Petrol  |  Chandigarh",Rs. 6.41 Lakh
2019 Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"40,133 km  |  Petrol  |  Chandigarh",Rs. 5.09 Lakh
2022 Renault Triber RXZ [2019-2020],"23,290 km  |  Petrol  |  Chandigarh",Rs. 6.41 Lakh
2019 Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"40,133 km  |  Petrol  |  Chandigarh",Rs. 5.09 Lakh
2017 Ford EcoSport Titanium 1.5L TDCi Black Edition,"51,375 km  |  Diesel  |  Chandigarh",Rs. 5.77 Lakh
2017 Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],"92,525 km  |  Diesel  |  Chandigarh",Rs. 5.6 Lakh
2017 Maruti Suzuki Vitara Brezza ZDi,"67,835 km  |  Diesel  |  Chandigarh",Rs. 6.06 Lakh
2021 Hyundai Aura SX 1.2 (O) Petrol,"24,570 km  |  Petrol  |  Chandigarh",Rs. 7.54 Lakh
2016 Honda Brio VX AT,"27,402 km  |  Petrol  |  Chandigarh",Rs. 4.1 Lakh
2018 Hyundai Verna EX 1.6 CRDi [2017-2018],"63,223 km  |  Diesel  |  Chandigarh",Rs. 7.95 Lakh
2011 Maruti Suzuki Swift ZDi,"1,17,875 km  |  Diesel  |  Chandigarh",Rs. 2.77 Lakh
2014 Maruti Suzuki Swift VDi,"77,825 km  |  Diesel  |  Chandigarh",Rs. 3.17 Lakh
2019 Renault Triber RXZ [2019-2020],"61,833 km  |  Petrol  |  Chandigarh",Rs. 4.42 Lakh
2015 Honda City V Diesel,"85,212 km  |  Diesel  |  Chandigarh",Rs. 4.31 Lakh
2013 Maruti Suzuki Swift VDi,"90,533 km  |  Diesel  |  Chandigarh",Rs. 2.93 Lakh
2016 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"67,018 km  |  Petrol  |  Chandigarh",Rs. 3.74 Lakh
2019 Maruti Suzuki Alto 800 LXi (O),"27,699 km  |  Petrol  |  Chandigarh",Rs. 2.82 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi,"63,042 km  |  Diesel  |  Chandigarh",Rs. 7.74 Lakh
2021 Maruti Suzuki Wagon R LXi (O) 1.0 CNG,"42,164 km  |  CNG  |  Chandigarh",Rs. 4.97 Lakh
2021 Tata Altroz XZ Diesel [2020-2023],"59,616 km  |  Diesel  |  Chandigarh",Rs. 6.94 Lakh
2019 Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,"28,356 km  |  Petrol  |  Chandigarh",Rs. 6.38 Lakh
2017 Maruti Suzuki Alto K10 VXi (O) [2014-2019],"42,396 km  |  Petrol  |  Chandigarh",Rs. 3.07 Lakh
2015 Maruti Suzuki Swift DZire LDI,"72,309 km  |  Diesel  |  Chandigarh",Rs. 3.21 Lakh
2017 Maruti Suzuki Ciaz ZDi+ SHVS RS [2015-2017],"1,21,296 km  |  Diesel  |  Chandigarh",Rs. 5.83 Lakh
2019 Maruti Suzuki Vitara Brezza VDi,"58,504 km  |  Diesel  |  Chandigarh",Rs. 7.12 Lakh
2021 Renault Triber RXZ [2019-2020],"24,165 km  |  Petrol  |  Chandigarh",Rs. 6.51 Lakh
2021 Renault Triber RXZ [2019-2020],"24,165 km  |  Petrol  |  Chandigarh",Rs. 6.51 Lakh
2016 Renault Duster 85 PS RxL,"99,829 km  |  Diesel  |  Chandigarh",Rs. 4.44 Lakh
2019 Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"68,169 km  |  Petrol  |  Chandigarh",Rs. 4.9 Lakh
2020 Maruti Suzuki Wagon R LXi (O) 1.0 CNG,"47,473 km  |  CNG  |  Chandigarh",Rs. 5 Lakh
2019 Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],"67,571 km  |  Diesel  |  Chandigarh",Rs. 6.86 Lakh
2014 Maruti Suzuki Swift DZire VDI,"62,554 km  |  Diesel  |  Chandigarh",Rs. 4 Lakh
2017 Maruti Suzuki Swift VDi,"83,513 km  |  Diesel  |  Chandigarh",Rs. 4.16 Lakh
2019 Maruti Suzuki Baleno Zeta 1.2,"52,313 km  |  Petrol  |  Chandigarh",Rs. 6.67 Lakh
2012 Hyundai i20 Asta 1.2,"59,618 km  |  Petrol  |  Chandigarh",Rs. 3.42 Lakh
2019 Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],"46,350 km  |  Diesel  |  Chandigarh",Rs. 7.25 Lakh
