title,distance,prices
2012 Hyundai Sonata 2.4 GDi AT,"40,000 km  |  Petrol  |  Mumbai",Rs. 4.25 Lakh
2009 Nissan Teana 250XL,"86,500 km  |  Petrol  |  Mumbai",Rs. 2.25 Lakh
2015 Toyota Innova 2.5 GX BS IV 7 STR,"1,03,000 km  |  Diesel  |  Mumbai",Rs. 10.45 Lakh
2012 Mercedes-Benz B-Class B180,"69,000 km  |  Petrol  |  Mumbai",Rs. 8 Lakh
2021 BMW 5 Series 520d Luxury Line [2017-2019],"10,000 km  |  Diesel  |  Mumbai",Rs. 61.49 Lakh
2015 Skoda Octavia Elegance 2.0 TDI AT,"55,000 km  |  Diesel  |  Mumbai",Rs. 8.95 Lakh
2018 Hyundai Santro Magna CNG [2018-2020],"36,067 km  |  CNG  |  Mumbai",Rs. 4.61 Lakh
2015 Toyota Innova 2.5 G BS IV 7 STR,"1,33,422 km  |  Diesel  |  Mumbai",Rs. 8.75 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi Plus Dual Tone AGS,"44,780 km  |  Diesel  |  Mumbai",Rs. 9.51 Lakh
2020 Maruti Suzuki Vitara Brezza VXi,"22,065 km  |  Petrol  |  Mumbai",Rs. 7.95 Lakh
2021 Maruti Suzuki Ertiga VXI CNG,"14,847 km  |  CNG  |  Mumbai",Rs. 10.75 Lakh
2020 Maruti Suzuki XL6 Zeta MT Petrol,"18,674 km  |  Petrol  |  Mumbai",Rs. 10.65 Lakh
2022 Mahindra XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR [2021],"4,178 km  |  Diesel  |  Mumbai",Rs. 30 Lakh
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],"43,000 km  |  Petrol  |  Mumbai",Rs. 12.5 Lakh
2019 Renault Kwid CLIMBER 1.0,"8,258 km  |  Petrol  |  Mumbai",Rs. 4.15 Lakh
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],"30,513 km  |  Petrol  |  Mumbai",Rs. 12.75 Lakh
2019 Jeep Compass Limited Plus Petrol AT [2018-2020],"19,911 km  |  Petrol  |  Mumbai",Rs. 16.5 Lakh
2019 Tata Hexa XTA 4x2 7 STR,"41,810 km  |  Diesel  |  Mumbai",Rs. 13.95 Lakh
2023 Skoda Kodiaq L&K [2022],"6,202 km  |  Petrol  |  Mumbai",Rs. 44.44 Lakh
2020 Toyota Fortuner 2.8 4x4 MT [2016-2020],"59,251 km  |  Diesel  |  Mumbai",Rs. 36.25 Lakh
2021 Tata Harrier XZA Plus,"19,054 km  |  Diesel  |  Mumbai",Rs. 19.99 Lakh
2019 Jeep Compass Limited Plus Petrol AT [2018-2020],"34,114 km  |  Petrol  |  Mumbai",Rs. 16.95 Lakh
2018 Mahindra XUV500 W9 AT,"37,404 km  |  Diesel  |  Mumbai",Rs. 13.75 Lakh
2016 Maruti Suzuki Vitara Brezza VDi,"75,326 km  |  Diesel  |  Mumbai",Rs. 6.49 Lakh
2018 Tata Tiago Revotron XZA,"38,512 km  |  Petrol  |  Mumbai",Rs. 4.95 Lakh
2021 Toyota Fortuner 2.8 4x2 AT [2016-2020],"46,478 km  |  Diesel  |  Mumbai",Rs. 39.5 Lakh
2021 Renault Triber RXL EASY-R AMT,"15,949 km  |  Petrol  |  Mumbai",Rs. 7.49 Lakh
2022 Renault Kwid CLIMBER AMT,"26,667 km  |  Petrol  |  Mumbai",Rs. 5.25 Lakh
2016 Land Rover Discovery Sport HSE Luxury 7-Seater,"75,000 km  |  Diesel  |  Mumbai",Rs. 29.35 Lakh
2018 Toyota Fortuner 2.8 4x4 AT [2016-2020],"51,000 km  |  Diesel  |  Mumbai",Rs. 35.75 Lakh
2022 MG Hector Sharp 1.5 Petrol CVT,"13,000 km  |  Petrol  |  Mumbai",Rs. 19.35 Lakh
2016 Mercedes-Benz CLA 200 Petrol Sport,"24,700 km  |  Petrol  |  Mumbai",Rs. 20.75 Lakh
