title,distance,prices
2016 Volkswagen Polo Comfortline 1.5L (D),"49,134 km  |  Diesel  |  Bangalore",Rs. 7.25 Lakh
2017 Tata Tiago Revotron XZ,"65,407 km  |  Petrol  |  Bangalore",Rs. 4.89 Lakh
2018 Skoda Rapid Style 1.5 TDI AT,"59,386 km  |  Diesel  |  Bangalore",Rs. 10.45 Lakh
2019 Kia Seltos GTX Plus 1.4 [2020-2021],"79,581 km  |  Petrol  |  Bangalore",Rs. 14.1 Lakh
2011 Mercedes-Benz E-Class E250 CDI Classic,"88,000 km  |  Diesel  |  Bangalore",Rs. 13.15 Lakh
2017 Tata Nexon XZ Plus,"44,895 km  |  Petrol  |  Bangalore",Rs. 9.25 Lakh
2010 Toyota Innova 2.5 GX 8 STR BS-IV,"3,08,214 km  |  Diesel  |  Bangalore",Rs. 6.25 Lakh
2022 Mercedes-Benz EQS 580 4MATIC,"5,567 km  |  Electric  |  Bangalore",Rs. 1.38 Crore
2018 Jeep Compass Longitude (O) 2.0 Diesel [2017-2020],"50,771 km  |  Diesel  |  Bangalore",Rs. 14 Lakh
2019 Maruti Suzuki Ertiga VXi AT,"44,256 km  |  Petrol  |  Bangalore",Rs. 9.75 Lakh
2017 Jeep Compass Longitude 2.0 Diesel [2017-2020],"71,319 km  |  Diesel  |  Bangalore",Rs. 13.99 Lakh
2019 Maruti Suzuki Ertiga VXi,"64,088 km  |  Petrol  |  Bangalore",Rs. 9.75 Lakh
2022 Mercedes-Benz GLA 220d [2021-2023],"16,199 km  |  Diesel  |  Bangalore",Rs. 54.75 Lakh
2016 BMW 3 Series 320d Luxury Line,"64,229 km  |  Diesel  |  Bangalore",Rs. 23.99 Lakh
2019 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"25,802 km  |  Diesel  |  Bangalore",Rs. 39.95 Lakh
2022 Toyota Fortuner 4X4 AT 2.8 Diesel,"34,950 km  |  Diesel  |  Bangalore",Rs. 44.95 Lakh
2017 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"70,623 km  |  Diesel  |  Bangalore",Rs. 23.45 Lakh
2020 BMW 3 Series 320d Luxury Line,"25,000 km  |  Diesel  |  Bangalore",Rs. 39.75 Lakh
2022 Jeep Compass Model S (O) 1.4 Petrol DCT [2021],"11,159 km  |  Petrol  |  Bangalore",Rs. 25.95 Lakh
2021 Jeep Compass Limited (O) 1.4 Petrol DCT [2021],"8,250 km  |  Petrol  |  Bangalore",Rs. 23.45 Lakh
2019 Jeep Compass Longitude (O) 1.4 Petrol AT [2019-2020],"25,645 km  |  Petrol  |  Bangalore",Rs. 16.95 Lakh
2014 BMW 3 Series 320d Prestige,"40,000 km  |  Diesel  |  Bangalore",Rs. 18.45 Lakh
2020 Toyota Innova Crysta 2.4 ZX AT 7 STR,"47,000 km  |  Diesel  |  Bangalore",Rs. 25.9 Lakh
2017 Mercedes-Benz C-Class C 220 CDI Avantgarde,"38,556 km  |  Diesel  |  Bangalore",Rs. 31.5 Lakh
2022 Toyota Fortuner 4X4 MT 2.8 Diesel,"25,333 km  |  Diesel  |  Bangalore",Rs. 43.75 Lakh
2022 Mercedes-Benz C-Class C 300d AMG line,"20,000 km  |  Diesel  |  Bangalore",Rs. 59.9 Lakh
2019 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"71,073 km  |  Diesel  |  Bangalore",Rs. 25.25 Lakh
2018 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"77,397 km  |  Diesel  |  Bangalore",Rs. 24.75 Lakh
2021 Volkswagen Polo Highline Plus 1.0L TSI,"31,626 km  |  Petrol  |  Bangalore",Rs. 9.3 Lakh
2018 BMW X1 sDrive20d Expedition,"48,189 km  |  Diesel  |  Bangalore",Rs. 29.99 Lakh
2022 Toyota Innova Crysta ZX 2.7 AT 7 STR,"21,316 km  |  Petrol  |  Bangalore",Rs. 24.5 Lakh
2016 Audi Q3 35 TDI Technology,"36,000 km  |  Diesel  |  Bangalore",Rs. 24.75 Lakh
2016 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],"72,312 km  |  Diesel  |  Bangalore",Rs. 18.75 Lakh
2019 Jeep Compass Limited Plus Petrol AT [2018-2020],"65,000 km  |  Petrol  |  Bangalore",Rs. 17.45 Lakh
2018 Toyota Innova Crysta 2.4 VX 8 STR [2016-2020],"26,943 km  |  Diesel  |  Bangalore",Rs. 22.75 Lakh
2021 Volkswagen Polo Comfortline 1.0L TSI,"62,700 km  |  Petrol  |  Bangalore",Rs. 8.45 Lakh
2016 Mercedes-Benz GLA 200 Sport,"45,019 km  |  Petrol  |  Bangalore",Rs. 22.95 Lakh
2017 Hyundai Verna 1.6 VTVT S,"36,680 km  |  Petrol  |  Bangalore",Rs. 7.65 Lakh
2019 Hyundai Elite i20 Asta 1.2 (O) CVT [2019-2020],"31,336 km  |  Petrol  |  Bangalore",Rs. 7.99 Lakh
2021 Renault Kiger RXZ 1.0 Turbo MT,"37,527 km  |  Petrol  |  Bangalore",Rs. 8.49 Lakh
2021 Hyundai Alcazar Platinum 7 STR 2.0 Petrol,"12,382 km  |  Petrol  |  Bangalore",Rs. 18.49 Lakh
2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"54,568 km  |  Petrol  |  Bangalore",Rs. 4.69 Lakh
2018 Honda Amaze 1.2 V CVT Petrol [2018-2020],"23,693 km  |  Petrol  |  Bangalore",Rs. 7.79 Lakh
2019 Kia Seltos GTX Plus 1.4 [2020-2021],"19,175 km  |  Petrol  |  Bangalore",Rs. 14.49 Lakh
2017 Hyundai Verna Fluidic 1.6 VTVT SX,"48,150 km  |  Petrol  |  Bangalore",Rs. 8.89 Lakh
2022 MG Hector Sharp 1.5 Petrol CVT,"2,065 km  |  Petrol  |  Bangalore",Rs. 19.99 Lakh
2016 Honda Jazz V Diesel,"32,754 km  |  Diesel  |  Bangalore",Rs. 6.79 Lakh
2016 Hyundai i20 Active 1.2 S,"33,973 km  |  Petrol  |  Bangalore",Rs. 6.59 Lakh
2017 Skoda Octavia Style 1.8 TSI AT,"48,071 km  |  Petrol  |  Bangalore",Rs. 14.99 Lakh
2022 Kia Carens Luxury Plus 1.4 Petrol 7 STR,"10,663 km  |  Petrol  |  Bangalore",Rs. 17.49 Lakh
2017 Ford EcoSport Titanium 1.5L Ti-VCT AT,"36,853 km  |  Petrol  |  Bangalore",Rs. 7.69 Lakh
2021 Skoda Kushaq Ambition 1.0L TSI AT,"29,001 km  |  Petrol  |  Bangalore",Rs. 13.99 Lakh
2017 Hyundai Elite i20 Magna 1.2 [2016-2017],"64,599 km  |  Petrol  |  Bangalore",Rs. 5.99 Lakh
2020 Toyota Glanza G CVT,"26,768 km  |  Petrol  |  Bangalore",Rs. 8.49 Lakh
2022 Kia Carens Luxury Plus 1.5 Diesel 6 STR,"9,394 km  |  Diesel  |  Bangalore",Rs. 17.99 Lakh
2017 Mahindra XUV500 W10,"76,058 km  |  Diesel  |  Bangalore",Rs. 13.49 Lakh
2020 Maruti Suzuki S-Presso VXi Plus,"19,747 km  |  Petrol  |  Bangalore",Rs. 4.89 Lakh
2021 MG Hector Sharp 1.5 Petrol CVT,"14,493 km  |  Petrol  |  Bangalore",Rs. 18.99 Lakh
2018 Hyundai Creta 1.6 SX Plus AT Petrol,"61,875 km  |  Petrol  |  Bangalore",Rs. 12.95 Lakh
2023 Hyundai Alcazar Prestige (O) 7 STR 1.5 Diesel AT,870 km  |  Diesel  |  Bangalore,Rs. 21.81 Lakh
2015 Hyundai Santa Fe 4WD AT [2014-2017],"82,730 km  |  Diesel  |  Bangalore",Rs. 13.95 Lakh
2018 Skoda Rapid Ambition 1.6 MPI AT,"40,235 km  |  Petrol  |  Bangalore",Rs. 9.25 Lakh
2017 Hyundai Tucson GL 2WD AT Petrol,"52,707 km  |  Petrol  |  Bangalore",Rs. 16.99 Lakh
2018 Maruti Suzuki Swift VXi [2014-2017],"47,135 km  |  Petrol  |  Bangalore",Rs. 6.3 Lakh
2019 Maruti Suzuki Alto VXI,"17,727 km  |  Petrol  |  Bangalore",Rs. 4.65 Lakh
2018 Skoda Octavia 1.4  TSI Ambition,"44,600 km  |  Petrol  |  Bangalore",Rs. 14.2 Lakh
2018 Ford EcoSport Titanium 1.5L Ti-VCT,"33,314 km  |  Petrol  |  Bangalore",Rs. 8.49 Lakh
2017 Maruti Suzuki Dzire VXi AMT,"47,274 km  |  Petrol  |  Bangalore",Rs. 6.5 Lakh
