title,distance,prices
2023 Mercedes-Benz C-Class C220d Progressive,"38,000 km  |  Diesel  |  Delhi",Rs. 32 Lakh
2021 Tata Safari XZ Plus,"17,767 km  |  Diesel  |  Delhi",Rs. 19.56 Lakh
2016 Mercedes-Benz GLA 200 Sport,"54,000 km  |  Petrol  |  Delhi",Rs. 20 Lakh
2021 Toyota Fortuner Legender 4X2 AT 2.8 Legender,"51,000 km  |  Diesel  |  Delhi",Rs. 43.5 Lakh
2018 BMW X1 sDrive20d xLine,"34,500 km  |  Diesel  |  Delhi",Rs. 27.45 Lakh
2018 Skoda Kodiaq Style 2.0 TDI 4x4 AT,"75,000 km  |  Diesel  |  Delhi",Rs. 23.9 Lakh
2015 Honda City VX (O) MT,"75,000 km  |  Petrol  |  Delhi",Rs. 6.25 Lakh
2013 Volkswagen Polo Highline1.2L (P),"52,907 km  |  Petrol  |  Delhi",Rs. 3.92 Lakh
2020 Maruti Suzuki Ertiga VXi,"16,129 km  |  Petrol  |  Delhi",Rs. 10 Lakh
2019 Jeep Compass Limited (O) 2.0 Diesel [2017-2020],"13,644 km  |  Diesel  |  Delhi",Rs. 14.75 Lakh
2021 Jeep Compass 80 Anniversary 1.4 Petrol DCT,"19,273 km  |  Petrol  |  Delhi",Rs. 23.5 Lakh
2018 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],"53,337 km  |  Petrol  |  Delhi",Rs. 12.95 Lakh
2023 Mahindra Scorpio N Z8 Petrol AT 7 STR,"6,827 km  |  Petrol  |  Delhi",Rs. 22.45 Lakh
2022 Maruti Suzuki Grand Vitara Alpha Smart Hybrid AT [2022-2023],"8,957 km  |  Mild Hybrid(Electric + Petrol)  |  Delhi",Rs. 17.5 Lakh
2022 Mahindra Thar LX Hard Top Petrol MT,"11,000 km  |  Petrol  |  Delhi",Rs. 15.8 Lakh
2020 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],"34,462 km  |  Petrol  |  Delhi",Rs. 18.5 Lakh
2017 Toyota Fortuner 2.8 4x2 AT [2016-2020],"74,930 km  |  Diesel  |  Delhi",Rs. 25.9 Lakh
2020 BMW 3 Series 330i Sport Line,"42,000 km  |  Petrol  |  Delhi",Rs. 37.85 Lakh
2013 Maruti Suzuki Ertiga Vxi ABS,"72,423 km  |  Petrol  |  Delhi",Rs. 4.9 Lakh
2019 Toyota Fortuner 2.8 4x4 AT [2016-2020],"39,000 km  |  Diesel  |  Delhi",Rs. 35.5 Lakh
