title,distance,prices
2022 Porsche Taycan Turbo S [2021-2023],"6,000 km  |  Electric  |  Pune",Rs. 2.4 Crore
2023 Toyota Urban Cruiser Hyryder V Hybrid [2022-2023],"8,629 km  |  Hybrid  |  Pune",Rs. 23 Lakh
2019 Mercedes-Benz GLE 250 d,"65,120 km  |  Diesel  |  Pune",Rs. 48.75 Lakh
2011 Hyundai i10 Sportz 1.2 AT Kappa2,"48,000 km  |  Petrol  |  Pune",Rs. 2.9 Lakh
2021 Hyundai Elite i20  Asta 1.2 AT,"12,300 km  |  Petrol  |  Pune",Rs. 11.5 Lakh
2019 Audi Q5 35 TDI Technology,"18,000 km  |  Diesel  |  Pune",Rs. 46 Lakh
2016 Land Rover Range Rover Sport SDV6 HSE,"90,000 km  |  Diesel  |  Pune",Rs. 76 Lakh
2022 Maruti Suzuki Dzire VXi CNG [2020-2023],"27,543 km  |  CNG  |  Pune",Rs. 8.14 Lakh
2018 Hyundai Creta 1.6 SX Plus AT Petrol,"58,308 km  |  Petrol  |  Pune",Rs. 11.8 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi Plus,"60,046 km  |  Diesel  |  Pune",Rs. 9.5 Lakh
2022 Maruti Suzuki Ertiga VXI CNG,"37,750 km  |  CNG  |  Pune",Rs. 11.65 Lakh
2021 Toyota Innova Crysta ZX 2.4 AT 7 STR,"67,000 km  |  Diesel  |  Pune",Rs. 26.5 Lakh
2021 Hyundai Creta SX (O) 1.5 Diesel Automatic [2020-2022],"30,000 km  |  Diesel  |  Pune",Rs. 19.5 Lakh
2017 Hyundai Verna 1.6 VTVT SX,"26,300 km  |  Petrol  |  Pune",Rs. 8.1 Lakh
2020 Maruti Suzuki Ertiga ZXi Plus,"41,475 km  |  Petrol  |  Pune",Rs. 10.8 Lakh
2015 Skoda Rapid 1.6 MPI Elegance Plus Black Package AT,"45,000 km  |  Petrol  |  Pune",Rs. 6.6 Lakh
2019 Tata Nexon XZA Plus Petrol Dual Tone,"39,336 km  |  Petrol  |  Pune",Rs. 9.7 Lakh
2018 Maruti Suzuki Vitara Brezza VDi,"91,725 km  |  Diesel  |  Pune",Rs. 8.35 Lakh
2014 Hyundai i20 Asta (O) 1.2,"70,852 km  |  Petrol  |  Pune",Rs. 4.49 Lakh
2018 Hyundai Elite i20 Sportz 1.4 CRDi,"43,555 km  |  Diesel  |  Pune",Rs. 7.49 Lakh
2019 Renault Kwid 1.0 RXT Opt,"8,951 km  |  Petrol  |  Pune",Rs. 4.1 Lakh
2017 Maruti Suzuki Wagon R 1.0 VXI AMT,"33,007 km  |  Petrol  |  Pune",Rs. 4.49 Lakh
2018 Maruti Suzuki Dzire VXi AMT,"37,703 km  |  Petrol  |  Pune",Rs. 7.55 Lakh
2017 Mahindra XUV500 W10 AT 1.99,"80,820 km  |  Diesel  |  Pune",Rs. 13.8 Lakh
2022 Mahindra XUV300 1.5 W8 (O) [2019-2020],"8,497 km  |  Diesel  |  Pune",Rs. 14.25 Lakh
2022 Honda City 4th Generation V Petrol,"31,580 km  |  Petrol  |  Pune",Rs. 11.5 Lakh
2018 Volkswagen Polo Highline1.0L (P),"52,351 km  |  Petrol  |  Pune",Rs. 6.9 Lakh
2019 Honda WR-V VX MT Petrol,"38,009 km  |  Petrol  |  Pune",Rs. 8.1 Lakh
2017 Maruti Suzuki Ciaz ZXi,"73,413 km  |  Petrol  |  Pune",Rs. 6.5 Lakh
2015 Honda City VX,"90,098 km  |  Petrol  |  Pune",Rs. 6 Lakh
2016 Honda Jazz V AT Petrol,"88,547 km  |  Petrol  |  Pune",Rs. 5.3 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi,"45,669 km  |  Diesel  |  Pune",Rs. 9.75 Lakh
2018 Hyundai Creta 1.4 S Plus,"96,233 km  |  Diesel  |  Pune",Rs. 9.8 Lakh
2018 Volkswagen Ameo Highline Plus 1.5L AT (D)16 Alloy,"65,995 km  |  Diesel  |  Pune",Rs. 7.5 Lakh
2021 Volkswagen Taigun Highline 1.0 TSI AT,"43,344 km  |  Petrol  |  Pune",Rs. 13.75 Lakh
2016 Toyota Etios Cross 1.4 VD,"93,431 km  |  Diesel  |  Pune",Rs. 5.85 Lakh
2020 Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],"46,012 km  |  Petrol  |  Pune",Rs. 9.95 Lakh
2021 Renault Kiger RXZ Turbo CVT,"5,437 km  |  Petrol  |  Pune",Rs. 9.65 Lakh
2021 Kia Sonet GTX Plus 1.5 AT [2020-2021],"36,325 km  |  Diesel  |  Pune",Rs. 13.6 Lakh
2018 Toyota Innova Crysta 2.4 ZX 7 STR [2016-2020],"33,859 km  |  Diesel  |  Pune",Rs. 23.5 Lakh
2018 Hyundai Elantra 1.6 SX (O) AT,"40,901 km  |  Diesel  |  Pune",Rs. 15.65 Lakh
2017 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"48,959 km  |  Petrol  |  Pune",Rs. 8.5 Lakh
2018 Hyundai Creta SX Plus 1.6 AT CRDI,"45,575 km  |  Diesel  |  Pune",Rs. 12.5 Lakh
2018 Maruti Suzuki Vitara Brezza VDi,"56,057 km  |  Diesel  |  Pune",Rs. 8.65 Lakh
2018 Maruti Suzuki Dzire VDi AMT,"84,223 km  |  Diesel  |  Pune",Rs. 7.8 Lakh
