title,distance,prices
2019 Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],"52,243 km  |  Petrol  |  Navi Mumbai",Rs. 7.9 Lakh
2017 Maruti Suzuki Ciaz Alpha 1.4 MT,"45,278 km  |  Petrol  |  Navi Mumbai",Rs. 6.85 Lakh
2016 Hyundai Elite i20 Sportz 1.2 [2016-2017],"47,603 km  |  Petrol  |  Navi Mumbai",Rs. 5.27 Lakh
2016 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT [2016-2017],"33,449 km  |  Petrol  |  Navi Mumbai",Rs. 4.77 Lakh
2016 Audi A6 35 TDI Matrix,"46,800 km  |  Diesel  |  Navi Mumbai",Rs. 21.5 Lakh
2015 Mercedes-Benz S-Class S 350 CDI,"1,13,000 km  |  Diesel  |  Navi Mumbai",Rs. 29.5 Lakh
2021 Hyundai Venue SX 1.0 Turbo iMT,"26,231 km  |  Petrol  |  Navi Mumbai",Rs. 10.35 Lakh
2016 Maruti Suzuki Baleno Zeta 1.2,"32,852 km  |  Petrol  |  Navi Mumbai",Rs. 5.45 Lakh
2013 Hyundai Elantra 1.8 SX AT,"66,857 km  |  Petrol  |  Navi Mumbai",Rs. 5.51 Lakh
2018 Hyundai Creta SX 1.5 Diesel Automatic,"67,099 km  |  Diesel  |  Navi Mumbai",Rs. 12.97 Lakh
2020 Tata Nexon XZA Plus (O),"17,938 km  |  Petrol  |  Navi Mumbai",Rs. 10.89 Lakh
2017 Hyundai Creta SX Plus 1.6  Petrol,"40,842 km  |  Petrol  |  Navi Mumbai",Rs. 10.42 Lakh
2017 Hyundai Elite i20 Asta 1.2 (O) [2016],"62,546 km  |  Petrol  |  Navi Mumbai",Rs. 5.74 Lakh
2017 Hyundai Elite i20 Asta 1.2 Dual Tone,"24,638 km  |  Petrol  |  Navi Mumbai",Rs. 5.99 Lakh
2013 Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],"49,074 km  |  Petrol  |  Navi Mumbai",Rs. 3.68 Lakh
2016 Maruti Suzuki Baleno Zeta 1.2,"46,724 km  |  Petrol  |  Navi Mumbai",Rs. 5.35 Lakh
2020 Kia Sonet GTX Plus 1.5 AT [2020-2021],"40,703 km  |  Diesel  |  Navi Mumbai",Rs. 13.1 Lakh
2015 Hyundai Elite i20 Sportz 1.2,"26,078 km  |  Petrol  |  Navi Mumbai",Rs. 5.19 Lakh
2018 Maruti Suzuki Ciaz Delta 1.4 MT,"48,285 km  |  Petrol  |  Navi Mumbai",Rs. 6.89 Lakh
2021 Maruti Suzuki Ignis Zeta 1.2 MT,"7,643 km  |  Petrol  |  Navi Mumbai",Rs. 6.19 Lakh
2021 Ford EcoSport Titanium 1.5L TDCi [2019-2020],"29,422 km  |  Diesel  |  Navi Mumbai",Rs. 9.64 Lakh
2017 Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],"28,448 km  |  Petrol  |  Navi Mumbai",Rs. 4.94 Lakh
2020 Tata Altroz XT Petrol [2020-2023],"13,801 km  |  Petrol  |  Navi Mumbai",Rs. 6.59 Lakh
2018 Hyundai Creta 1.6 SX Plus AT Petrol,"17,528 km  |  Petrol  |  Navi Mumbai",Rs. 11.49 Lakh
2020 Maruti Suzuki Wagon R 1.0 LXI CNG (O),"35,212 km  |  CNG  |  Navi Mumbai",Rs. 5.3 Lakh
2016 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"41,263 km  |  Petrol  |  Navi Mumbai",Rs. 4.14 Lakh
2010 Hyundai i10 Sportz 1.2,"59,270 km  |  Petrol  |  Navi Mumbai",Rs. 2.26 Lakh
2018 Ford EcoSport Titanium + 1.5L Ti-VCT AT [2019-2020],"16,977 km  |  Petrol  |  Navi Mumbai",Rs. 8.12 Lakh
2021 Maruti Suzuki Dzire ZXi AGS [2020-2023],"12,642 km  |  Petrol  |  Navi Mumbai",Rs. 8.1 Lakh
2016 Maruti Suzuki Swift VXi [2014-2017],"40,142 km  |  Petrol  |  Navi Mumbai",Rs. 4.46 Lakh
2017 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],"12,633 km  |  Petrol  |  Navi Mumbai",Rs. 5.12 Lakh
2017 Maruti Suzuki Baleno Alpha 1.2,"26,172 km  |  Petrol  |  Navi Mumbai",Rs. 6.35 Lakh
2018 Maruti Suzuki Wagon R 1.0 LXI CNG,"58,130 km  |  CNG  |  Navi Mumbai",Rs. 4.32 Lakh
2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"30,276 km  |  Petrol  |  Navi Mumbai",Rs. 4.24 Lakh
2016 Mahindra XUV300 1.5 W6 [2019-2020],"1,18,564 km  |  Diesel  |  Navi Mumbai",Rs. 7.84 Lakh
2019 Hyundai Venue SX (O) 1.0 Turbo,"22,510 km  |  Petrol  |  Navi Mumbai",Rs. 9.72 Lakh
2019 Hyundai Elite i20 Asta 1.2 (O) [2019-2020],"16,551 km  |  Petrol  |  Navi Mumbai",Rs. 7.42 Lakh
2019 Hyundai Elite i20 Sportz 1.2,"20,694 km  |  Petrol  |  Navi Mumbai",Rs. 6.86 Lakh
2014 Maruti Suzuki Alto 800 Vxi,"19,740 km  |  Petrol  |  Navi Mumbai",Rs. 2.69 Lakh
2021 Hyundai Venue S Plus 1.2 Petrol,"30,400 km  |  Petrol  |  Navi Mumbai",Rs. 8.5 Lakh
2020 Hyundai Santro Sportz AMT,"32,775 km  |  Petrol  |  Navi Mumbai",Rs. 5.44 Lakh
2019 Maruti Suzuki Alto 800 Vxi,"16,650 km  |  Petrol  |  Navi Mumbai",Rs. 3.54 Lakh
