title,distance,prices
2014 Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],"82,604 km  |  Petrol  |  Ahmedabad",Rs. 4.6 Lakh
2016 Volkswagen Polo Highline1.5L (D),"67,288 km  |  Diesel  |  Ahmedabad",Rs. 4.9 Lakh
2019 Hyundai Elantra 2.0 SX (O) AT,"37,229 km  |  Petrol  |  Ahmedabad",Rs. 13.22 Lakh
2011 BMW 7 Series 730Ld Sedan,"77,000 km  |  Diesel  |  Ahmedabad",Rs. 19.55 Lakh
2019 Hyundai Elite i20 Magna Executive 1.2,"43,000 km  |  Petrol  |  Ahmedabad",Rs. 6.1 Lakh
2019 Hyundai Venue SX Plus 1.0 Turbo DCT,"36,663 km  |  Petrol  |  Ahmedabad",Rs. 9.16 Lakh
2019 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2019],"36,000 km  |  CNG  |  Ahmedabad",Rs. 5.25 Lakh
2022 BMW 2 Series Gran Coupe 220i M Sport [2021-2023],"5,737 km  |  Petrol  |  Ahmedabad",Rs. 37 Lakh
2020 Maruti Suzuki Swift ZXi,"36,400 km  |  Petrol  |  Ahmedabad",Rs. 6.75 Lakh
2016 Maruti Suzuki Wagon R 1.0 VXI AMT,"59,970 km  |  Petrol  |  Ahmedabad",Rs. 4 Lakh
2018 Hyundai Grand i10 Sportz 1.2 Kappa VTVT,"57,180 km  |  Petrol  |  Ahmedabad",Rs. 5.1 Lakh
2019 Honda City V,"47,810 km  |  Petrol  |  Ahmedabad",Rs. 9 Lakh
2017 Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],"16,113 km  |  Petrol  |  Ahmedabad",Rs. 5.65 Lakh
2020 Kia Seltos HTK 1.5 [2020-2021],"41,327 km  |  Petrol  |  Ahmedabad",Rs. 12.9 Lakh
2019 Honda WR-V VX MT Petrol,"18,957 km  |  Petrol  |  Ahmedabad",Rs. 8.5 Lakh
2020 Tata Harrier XZ,"22,013 km  |  Diesel  |  Ahmedabad",Rs. 17.02 Lakh
2018 Jaguar XJ L 3.0 Portfolio,"29,200 km  |  Diesel  |  Ahmedabad",Rs. 51 Lakh
2017 Maruti Suzuki Baleno Delta 1.2,"29,603 km  |  Petrol  |  Ahmedabad",Rs. 5.75 Lakh
2016 Maruti Suzuki Wagon R 1.0 VXI,"68,237 km  |  Petrol  |  Ahmedabad",Rs. 3.96 Lakh
2021 Porsche Macan R4,"15,500 km  |  Petrol  |  Ahmedabad",Rs. 79 Lakh
2021 Audi e-tron 55,"12,000 km  |  Electric  |  Ahmedabad",Rs. 89 Lakh
