title,distance,prices
2022 Audi Q7 Technology 55 TFSI,"25,000 km  |  Petrol  |  Chennai",Rs. 95 Lakh
2020 MG Hector Smart 2.0 Diesel [2019-2020],"50,948 km  |  Diesel  |  Chennai",Rs. 14.75 Lakh
2016 Honda Amaze 1.2 VX i-VTEC,"60,921 km  |  Petrol  |  Chennai",Rs. 4.95 Lakh
2015 Hyundai Elite i20 Asta 1.2 (O),"36,476 km  |  Petrol  |  Chennai",Rs. 5.9 Lakh
2011 Hyundai Verna Fluidic 1.6 CRDi SX,"70,000 km  |  Diesel  |  Chennai",Rs. 7 Lakh
2021 Hyundai i20 Sportz 1.2 MT [2020-2023],"21,099 km  |  Petrol  |  Chennai",Rs. 8.1 Lakh
2022 Hyundai Aura SX Plus 1.2 AMT Petrol,"5,000 km  |  Petrol  |  Chennai",Rs. 8.5 Lakh
2020 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"24,977 km  |  Diesel  |  Chennai",Rs. 54 Lakh
2022 Toyota Fortuner 4X2 MT 2.8 Diesel,"18,000 km  |  Diesel  |  Chennai",Rs. 39 Lakh
2020 Toyota Fortuner 2.8 4x2 MT [2016-2020],"26,000 km  |  Diesel  |  Chennai",Rs. 35.75 Lakh
2021 Toyota Innova Crysta ZX 2.4 AT 7 STR,"34,000 km  |  Diesel  |  Chennai",Rs. 28.35 Lakh
2021 Kia Seltos GTX Plus AT 1.5 Diesel [2019-2020],"30,317 km  |  Diesel  |  Chennai",Rs. 17.7 Lakh
2020 Maruti Suzuki Swift ZXi Plus [2018-2019],"38,375 km  |  Petrol  |  Chennai",Rs. 7.25 Lakh
2021 Hyundai Venue SX Plus 1.0 Turbo DCT,"13,923 km  |  Petrol  |  Chennai",Rs. 11.75 Lakh
2020 Hyundai Venue SX Plus 1.0 AT Petrol [2019-2020],"40,531 km  |  Petrol  |  Chennai",Rs. 10.6 Lakh
2022 Jeep Meridian Limited (O) 4X2 MT [2022],"9,036 km  |  Diesel  |  Chennai",Rs. 31.5 Lakh
2022 Maruti Suzuki Swift ZXi Plus [2021-2023],"8,286 km  |  Petrol  |  Chennai",Rs. 8.55 Lakh
2018 Audi Q3 35 TDI quattro Technology,"50,000 km  |  Diesel  |  Chennai",Rs. 28.5 Lakh
2020 Toyota Innova Crysta 2.4 ZX 7 STR [2016-2020],"59,000 km  |  Diesel  |  Chennai",Rs. 25.25 Lakh
2018 Maruti Suzuki Wagon R 1.0 VXI+,"59,300 km  |  Petrol  |  Chennai",Rs. 4.65 Lakh
2019 Maruti Suzuki Alto VXI,"30,000 km  |  Petrol  |  Chennai",Rs. 3.95 Lakh
2022 Hyundai Venue SX (O) 1.5 CRDi,"32,699 km  |  Diesel  |  Chennai",Rs. 12.4 Lakh
2019 Nissan Kicks XL 1.5 D [2019-2019],"53,992 km  |  Diesel  |  Chennai",Rs. 8.2 Lakh
2015 Maruti Suzuki Swift DZire VXI,"32,001 km  |  Petrol  |  Chennai",Rs. 5.5 Lakh
2018 Audi A6 35 TDI Matrix,"44,001 km  |  Diesel  |  Chennai",Rs. 31.9 Lakh
2016 Ford EcoSport Titanium+ 1.5L TDCi,"56,350 km  |  Diesel  |  Chennai",Rs. 6.45 Lakh
2021 Honda City VX,"13,355 km  |  Petrol  |  Chennai",Rs. 12.45 Lakh
2022 Mahindra XUV700 AX 7 Diesel  AT Luxury Pack 7 STR [2021],"48,000 km  |  Diesel  |  Chennai",Rs. 25.9 Lakh
2022 Tata Altroz XZ Plus Diesel [2021-2023],"27,000 km  |  Diesel  |  Chennai",Rs. 9.5 Lakh
2022 Hyundai Venue SX 1.5 CRDi,"38,500 km  |  Diesel  |  Chennai",Rs. 12.45 Lakh
2022 Tata Tigor EV XZ Plus,"12,000 km  |  Electric  |  Chennai",Rs. 11.9 Lakh
2011 Hyundai Santro Xing GLS,"60,000 km  |  Petrol  |  Chennai",Rs. 2.75 Lakh
2017 Ford EcoSport Trend + 1.5L TDCi,"84,083 km  |  Diesel  |  Chennai",Rs. 6 Lakh
2015 Maruti Suzuki S-Cross Delta 1.3,"88,000 km  |  Diesel  |  Chennai",Rs. 6.25 Lakh
2015 Hyundai Elite i20 Asta 1.2 (O),"36,000 km  |  Petrol  |  Chennai",Rs. 5.9 Lakh
2018 Audi Q3 35 TDI quattro Premium Plus,"49,999 km  |  Diesel  |  Chennai",Rs. 26.9 Lakh
2021 Maruti Suzuki Dzire ZXi AGS [2020-2023],"15,001 km  |  Petrol  |  Chennai",Rs. 8.75 Lakh
2017 Toyota Innova Crysta 2.4 ZX 7 STR [2016-2020],"1,03,000 km  |  Diesel  |  Chennai",Rs. 20.9 Lakh
2018 Maruti Suzuki Dzire ZXi AMT,"25,000 km  |  Petrol  |  Chennai",Rs. 7.75 Lakh
2018 Maruti Suzuki Celerio ZXi AMT ABS,"42,817 km  |  Petrol  |  Chennai",Rs. 4.42 Lakh
2022 Mahindra Thar LX Hard Top Petrol AT,"10,225 km  |  Petrol  |  Chennai",Rs. 15.37 Lakh
