title,distance,prices
2011 Hyundai i10 1.1L iRDE ERA Special Edition,"52,881 km  |  Petrol  |  Kolkata",Rs. 1.53 Lakh
2018 Honda Jazz VX Petrol,"33,451 km  |  Petrol  |  Kolkata",Rs. 4.5 Lakh
2015 Maruti Suzuki Swift VDi,"47,000 km  |  Diesel  |  Kolkata",Rs. 3.99 Lakh
2017 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"44,201 km  |  Petrol  |  Kolkata",Rs. 7.41 Lakh
2014 Renault Duster 110 PS RxL Diesel,"62,540 km  |  Diesel  |  Kolkata",Rs. 3.2 Lakh
2018 Hyundai Verna 1.6 VTVT SX,"50,000 km  |  Petrol  |  Kolkata",Rs. 6.75 Lakh
2022 Toyota Urban Cruiser Premium Grade MT,"48,188 km  |  Petrol  |  Kolkata",Rs. 8.25 Lakh
2017 Mercedes-Benz CLA 200 CDI Sport,"44,196 km  |  Diesel  |  Kolkata",Rs. 20 Lakh
2014 Maruti Suzuki Ertiga VDi,"56,441 km  |  Diesel  |  Kolkata",Rs. 4.8 Lakh
2018 Hyundai Creta E Plus 1.6 Petrol,"59,000 km  |  Petrol  |  Kolkata",Rs. 7.5 Lakh
2018 Ford EcoSport Titanium 1.5L Ti-VCT,"37,175 km  |  Petrol  |  Kolkata",Rs. 6 Lakh
2013 Hyundai i10 Sportz 1.1 iRDE2 [2010--2017],"58,000 km  |  Petrol  |  Kolkata",Rs. 2.45 Lakh
2018 Maruti Suzuki Vitara Brezza ZDi,"64,882 km  |  Diesel  |  Kolkata",Rs. 6.95 Lakh
2016 Maruti Suzuki Wagon R 1.0 VXI AMT,"68,297 km  |  Petrol  |  Kolkata",Rs. 3.35 Lakh
2019 Honda BR-V S Petrol,"44,573 km  |  Petrol  |  Kolkata",Rs. 7.19 Lakh
2009 Mahindra Xylo E4 BS-III,"60,209 km  |  Diesel  |  Kolkata",Rs. 2.7 Lakh
2019 Tata Tigor EV XM Plus,"33,320 km  |  Electric  |  Kolkata",Rs. 5.5 Lakh
2022 Hyundai Venue SX 1.2 Petrol,"13,485 km  |  Petrol  |  Kolkata",Rs. 9 Lakh
